,"Адрес точки, г. Краснодар",офис_2,офис_1,офис_3,"п. Березовый, ул. Целиноградская, д. 6/1","ст-ца. Елизаветинская, ул. Широкая, д. 260","тер. Пашковский жилой массив, ул. Крылатая, д. 2","ул. 1-го Мая, д. 268","ул. Восточно-Кругликовская, д. 64/2","ул. Зиповская, д. 1","ул. Коммунаров, д. 258","ул. Красная, д. 145","ул. Красная, д. 149","ул. Красная, д. 154","ул. Красная, д. 176","ул. Красноармейская, д. 126","ул. Красных Партизан, д. 117","ул. Красных Партизан, д. 439","ул. Российская, д. 418","ул. Северная, д. 326","ул. Северная, д. 327","ул. Северная, д. 389","ул. Северная, д. 524","ул. Ставропольская, д. 140","ул. Таманская, д. 153 к. 3, кв. 2","ул. Уральская, д. 117","ул. Уральская, д. 162","ул. Уральская, д. 166/3","ул. Уральская, д. 78","ул. Уральская, д. 79/1","ул. им. 40-летия Победы, д. 20/1","ул. им. 40-летия Победы, д. 34","ул. им. Атарбекова, д. 24","ул. им. Володи Головатого, д. 313","ул. им. Героя Аверкиева А.А., д. 8","ул. им. Дзержинского, д. 100","ул. им. Дзержинского, д. 101","ул. им. Дзержинского, д. 102","ул. им. Дзержинского, д. 165","ул. им. Кирилла Россинского, д. 61/1","ул. им. Максима Горького, д. 128","ул. им. Селезнева, д. 197/5","ул. им. Селезнева, д. 76","ул. им. Тургенева, д. 106","ул. им. Тургенева, д. 174, 1 этаж","х. Ленина, п/о. 37"
16,"ул. Северная, д. 327",0.45,0.16,0.29,0.45,0.5,0.56,0.24,0.28,0.26,0.05,0.09,0.11,0.08,0.08,0.08,0.3,0.16,0.29,0.11,,0.04,0.06,0.24,0.31,0.4,0.41,0.42,0.24,0.32,0.12,0.13,0.24,0.1,0.24,0.36,0.32,0.41,0.29,0.38,0.07,0.4,0.21,0.16,0.24,0.69
17,"ул. Северная, д. 389",0.23,0.1,0.17,0.42,0.44,0.33,0.2,0.21,0.18,0.06,0.09,0.12,0.08,0.08,0.07,0.24,0.15,0.24,0.1,0.02,,0.02,0.16,0.15,0.21,0.22,0.22,0.1,0.15,0.12,0.13,0.19,0.09,0.18,0.32,0.21,0.26,0.25,0.32,0.08,0.16,0.09,0.14,0.2,0.45
18,"ул. Северная, д. 524",0.22,0.12,0.19,0.43,0.45,0.31,0.18,0.19,0.19,0.08,0.12,0.14,0.09,0.11,0.09,0.26,0.17,0.23,0.12,0.04,0.02,,0.15,0.14,0.2,0.21,0.22,0.08,0.14,0.12,0.13,0.22,0.12,0.17,0.32,0.23,0.27,0.26,0.31,0.1,0.14,0.08,0.16,0.22,0.43
19,"ул. Ставропольская, д. 140",0.19,0.21,0.28,0.51,0.53,0.3,0.25,0.25,0.29,0.17,0.19,0.22,0.16,0.18,0.15,0.35,0.25,0.31,0.2,0.13,0.13,0.14,,0.05,0.23,0.25,0.25,0.11,0.18,0.25,0.24,0.31,0.2,0.23,0.42,0.32,0.37,0.35,0.39,0.12,0.15,0.08,0.24,0.32,0.41
20,"ул. Таманская, д. 153 к. 3, кв. 2",0.19,0.22,0.29,0.53,0.55,0.32,0.26,0.25,0.3,0.18,0.21,0.23,0.16,0.2,0.15,0.36,0.25,0.32,0.2,0.14,0.14,0.15,0.06,,0.25,0.26,0.26,0.12,0.19,0.26,0.25,0.31,0.2,0.23,0.43,0.33,0.38,0.36,0.4,0.13,0.16,0.11,0.25,0.32,0.41
21,"ул. Уральская, д. 117",0.16,0.31,0.37,0.59,0.62,0.21,0.3,0.3,0.36,0.27,0.3,0.32,0.27,0.28,0.27,0.44,0.34,0.36,0.3,0.23,0.2,0.19,0.22,0.22,,0.05,0.05,0.14,0.1,0.3,0.3,0.4,0.3,0.28,0.5,0.4,0.44,0.43,0.44,0.25,0.17,0.17,0.34,0.41,0.31
22,"ул. Уральская, д. 162",0.17,0.33,0.39,0.6,0.65,0.22,0.32,0.31,0.37,0.29,0.32,0.34,0.29,0.3,0.28,0.47,0.36,0.38,0.32,0.25,0.22,0.21,0.23,0.24,0.05,,0.02,0.16,0.12,0.32,0.31,0.42,0.32,0.3,0.5,0.42,0.46,0.44,0.46,0.26,0.18,0.19,0.36,0.43,0.32
23,"ул. Уральская, д. 166/3",0.17,0.33,0.39,0.62,0.68,0.21,0.33,0.34,0.37,0.3,0.33,0.35,0.31,0.32,0.31,0.48,0.38,0.39,0.34,0.25,0.24,0.23,0.24,0.24,0.05,0.02,,0.16,0.12,0.32,0.31,0.43,0.33,0.31,0.51,0.42,0.46,0.44,0.47,0.26,0.17,0.18,0.38,0.44,0.32
24,"ул. Уральская, д. 78",0.25,0.31,0.43,0.64,0.74,0.38,0.31,0.28,0.46,0.29,0.34,0.33,0.32,0.33,0.31,0.55,0.41,0.41,0.34,0.17,0.2,0.17,0.2,0.22,0.18,0.2,0.21,,0.11,0.3,0.31,0.48,0.33,0.24,0.57,0.47,0.57,0.5,0.48,0.26,0.18,0.06,0.4,0.48,0.51
25,"ул. Уральская, д. 79/1",0.23,0.39,0.52,0.48,0.57,0.26,0.23,0.26,0.28,0.2,0.27,0.24,0.22,0.24,0.21,0.39,0.32,0.31,0.25,0.32,0.15,0.14,0.18,0.19,0.1,0.12,0.12,0.11,,0.23,0.23,0.39,0.23,0.24,0.41,0.56,0.91,0.38,0.38,0.23,0.1,0.11,0.32,0.33,0.37
26,"ул. им. 40-летия Победы, д. 20/1",0.32,0.14,0.23,0.37,0.48,0.44,0.1,0.13,0.12,0.15,0.15,0.15,0.21,0.16,0.2,0.3,0.2,0.14,0.22,0.15,0.14,0.13,0.23,0.23,0.27,0.29,0.29,0.18,0.23,,0.02,0.25,0.22,0.11,0.28,0.17,0.22,0.22,0.22,0.21,0.23,0.16,0.2,0.21,0.54
27,"ул. им. 40-летия Победы, д. 34",0.32,0.14,0.23,0.35,0.46,0.41,0.09,0.12,0.1,0.14,0.14,0.13,0.2,0.15,0.19,0.27,0.2,0.14,0.21,0.15,0.14,0.14,0.24,0.23,0.29,0.31,0.31,0.18,0.23,0.04,,0.22,0.19,0.11,0.27,0.18,0.22,0.2,0.23,0.2,0.24,0.17,0.2,0.19,0.53
28,"ул. им. Атарбекова, д. 24",0.44,0.16,0.07,0.38,0.31,0.6,0.3,0.33,0.21,0.18,0.15,0.15,0.19,0.16,0.19,0.13,0.08,0.3,0.15,0.21,0.24,0.25,0.31,0.36,0.44,0.45,0.46,0.31,0.39,0.21,0.22,,0.17,0.31,0.23,0.12,0.28,0.17,0.38,0.22,0.4,0.32,0.1,0.11,0.71
29,"ул. им. Володи Головатого, д. 313",0.3,0.07,0.15,0.42,0.4,0.41,0.25,0.28,0.18,0.07,0.06,0.08,0.06,0.05,0.05,0.21,0.12,0.26,0.06,0.06,0.08,0.09,0.2,0.24,0.29,0.31,0.31,0.17,0.23,0.16,0.17,0.17,,0.25,0.29,0.19,0.26,0.23,0.35,0.08,0.24,0.17,0.12,0.17,0.54
30,"ул. им. Героя Аверкиева А.А., д. 8",0.31,0.21,0.31,0.41,0.57,0.45,0.06,0.06,0.2,0.22,0.22,0.21,0.26,0.23,0.26,0.37,0.29,0.14,0.28,0.2,0.19,0.17,0.24,0.24,0.29,0.3,0.31,0.18,0.24,0.12,0.12,0.33,0.27,,0.35,0.25,0.3,0.29,0.18,0.27,0.24,0.17,0.27,0.29,0.55
31,"ул. им. Дзержинского, д. 100",0.81,0.35,0.33,0.18,0.43,0.67,0.28,0.31,0.22,0.25,0.25,0.26,0.3,0.24,0.27,0.34,0.23,0.23,0.26,0.36,0.32,0.32,0.42,0.43,0.5,0.5,0.51,0.57,0.41,0.28,0.27,0.23,0.29,0.35,,0.19,0.17,0.07,0.32,0.35,0.46,0.4,0.21,0.14,0.78
32,"ул. им. Дзержинского, д. 101",0.65,0.14,0.18,0.38,0.42,0.81,0.38,0.4,0.34,0.22,0.19,0.18,0.27,0.21,0.27,0.21,0.18,0.4,0.21,0.26,0.28,0.29,0.48,0.55,0.63,0.65,0.65,0.44,0.56,0.25,0.26,0.17,0.23,0.37,0.19,,0.28,0.12,0.48,0.32,0.63,0.44,0.19,0.09,0.94
33,"ул. им. Дзержинского, д. 102",0.89,0.42,0.44,0.21,0.66,1.04,0.43,0.46,0.62,0.58,0.61,0.59,0.67,0.62,0.66,0.58,0.54,0.29,0.63,0.54,0.65,0.66,0.84,0.92,0.98,0.99,1.0,0.73,0.91,0.57,0.58,0.53,0.67,0.48,0.17,0.3,,0.21,0.31,0.68,0.98,0.79,0.56,0.45,1.15
34,"ул. им. Дзержинского, д. 165",0.46,0.15,0.17,0.22,0.42,0.59,0.26,0.29,0.2,0.18,0.15,0.14,0.23,0.16,0.23,0.24,0.14,0.19,0.2,0.22,0.23,0.25,0.38,0.38,0.43,0.45,0.44,0.32,0.38,0.2,0.2,0.14,0.21,0.29,0.07,0.06,0.11,,0.28,0.26,0.38,0.31,0.15,0.1,0.69
35,"ул. им. Кирилла Россинского, д. 61/1",0.46,0.29,0.38,0.35,0.6,0.45,0.16,0.17,0.27,0.31,0.31,0.3,0.37,0.31,0.36,0.45,0.37,0.12,0.37,0.34,0.34,0.32,0.39,0.38,0.41,0.42,0.42,0.32,0.38,0.24,0.24,0.39,0.36,0.2,0.32,0.31,0.24,0.28,,0.38,0.38,0.31,0.37,0.36,0.56
36,"ул. им. Максима Горького, д. 128",0.31,0.14,0.21,0.44,0.46,0.43,0.27,0.27,0.22,0.09,0.12,0.15,0.08,0.11,0.07,0.28,0.18,0.31,0.11,0.07,0.08,0.09,0.13,0.17,0.28,0.3,0.31,0.18,0.23,0.2,0.21,0.24,0.12,0.25,0.35,0.26,0.3,0.28,0.39,,0.24,0.16,0.17,0.25,0.53
37,"ул. им. Селезнева, д. 197/5",0.11,0.26,0.33,0.57,0.6,0.26,0.28,0.27,0.32,0.24,0.27,0.3,0.25,0.26,0.24,0.42,0.32,0.34,0.28,0.18,0.18,0.16,0.18,0.16,0.13,0.14,0.14,0.1,0.1,0.27,0.26,0.38,0.28,0.25,0.46,0.35,0.4,0.39,0.42,0.23,,0.08,0.32,0.38,0.36
38,"ул. им. Селезнева, д. 76",0.15,0.19,0.26,0.49,0.52,0.29,0.2,0.2,0.26,0.17,0.2,0.22,0.17,0.18,0.17,0.34,0.24,0.26,0.2,0.11,0.1,0.09,0.11,0.09,0.16,0.17,0.17,0.04,0.11,0.2,0.19,0.3,0.2,0.18,0.4,0.28,0.33,0.33,0.34,0.15,0.08,,0.24,0.31,0.39
39,"ул. им. Тургенева, д. 106",0.41,0.1,0.07,0.37,0.33,0.5,0.27,0.3,0.2,0.15,0.1,0.1,0.15,0.12,0.14,0.13,0.05,0.29,0.1,0.17,0.17,0.19,0.27,0.32,0.37,0.38,0.39,0.27,0.32,0.18,0.19,0.08,0.12,0.28,0.21,0.1,0.26,0.15,0.37,0.18,0.33,0.26,,0.08,0.62
40,"ул. им. Тургенева, д. 174, 1 этаж",0.42,0.11,0.13,0.29,0.38,0.54,0.24,0.27,0.15,0.13,0.11,0.1,0.18,0.12,0.18,0.2,0.1,0.24,0.17,0.18,0.19,0.2,0.32,0.33,0.38,0.39,0.4,0.28,0.33,0.15,0.16,0.1,0.17,0.25,0.14,0.02,0.19,0.08,0.32,0.21,0.33,0.26,0.12,,0.64
41,"х. Ленина, п/о. 37",0.25,0.53,0.6,0.74,0.93,0.19,0.59,0.58,0.64,0.56,0.58,0.61,0.55,0.57,0.54,0.74,0.63,0.64,0.59,0.45,0.5,0.48,0.45,0.42,0.29,0.31,0.32,0.38,0.37,0.59,0.58,0.69,0.59,0.56,0.78,0.62,0.67,0.72,0.58,0.51,0.33,0.4,0.63,0.7,
